EG	ECK	Gene	Syn	Type	Len	Ori	LeftEnd	RightEnd	Cs	MW	Protein	Function	Description	Comments	GI	SP	b#	ASAP	JW	CG	
EG14184	ECK2449	eutJ	yffW	aa	278	Counterclockwise	2569501	2570337	55.36	30082.15	ethanolamine utilization protein, HSP70/actin superfamily protein	Putative enzyme; Degradation of small molecules: Amines	Putative chaperonin	eutJ has been characterized in (Brinsmade, 2005).	1788796	P77277	b2454	8089	JW2438	Null
EG14185	ECK2450	eutE	yffX	aa	467	Counterclockwise	2570348	2571751	55.38	49021.54	aldehyde oxidoreductase, ethanolamine utilization protein	Putative enzyme; Degradation of small molecules: Amines	Aldehyde oxidoreductase	eutE has been characterized in (Brinsmade, 2005).	1788797	P77445	b2455	8091	JW2439	Null
EG14186	ECK2451	eutN	cchB, yffY	aa	95	Counterclockwise	2571763	2572050	55.41	9956.48	Ethanolamine catabolic microcompartment shell protein	Phenotype; Not classified	Ethanolamine catabolic microcompartment shell protein	eutN has been characterized in (Brinsmade, 2005). The ethanolamine catabolic microcompartment, also called a carboxysome or metabolosome, is thought to help contain the volatile acetaldehdye intermediate (Penrod, 2006). The crystal structure of EutN from E. coli CFT073 is in PDB 2HD3 (Forouhar, 2007).	1788798	P0AEJ8	b2456	8093	JW2440	Null
EG14187	ECK2452	eutM	cchA, yffZ	aa	97	Counterclockwise	2572157	2572450	55.41	9865.54	ethanolamine utilization protein, putative carboxysome structural protein	Phenotype; Not classified	Ethanolamine catabolic microcompartment shell protein; forms a 2-dimensional protein membrane	eutM has been characterized in (Brinsmade, 2005). The ethanolamine catabolic microcompartment, also called a carboxysome or metabolosome, is thought to help contain the volatile acetaldehdye intermediate (Penrod, 2006).	87082108	P0ABF4	b2457	8095	JW2441	Null
EG14188	ECK2453	eutD	eutI, ypfA	aa	338	Counterclockwise	2572489	2573505	55.42	36066.73	phosphate acetyltransferase	Putative enzyme; Degradation of small molecules: Amines	Phosphate acetyltransferase	EutD is a more efficient phosphate acetyltransferase than Pta (Bologna, 2010).	1788800	P77218	b2458	8097	JW2442	Null
EG14189	ECK2454	eutT	ypfB	aa	267	Counterclockwise	2573502	2574305	55.44	30171.56	cobalamin adenosyltransferase involved in ethanolamine utilization	Null	Cobalamin adenosyltransferase	The eut operon has been characterized in Salmonella.	1788801	P65643	b2459	8100	JW2443	Null
EG14190	ECK2455	eutQ	ypfC	aa	233	Counterclockwise	2574302	2575003	55.46	25417.96	RmlC-like cupin domain protein	Putative enzyme; Not classified	Cupin-like superfamily protein, function unknown	EutQ is the prototype for a family of cupin-like proteins of unknown function (Pfam PF06249). eutQ has been characterized in Salmonella (Brinsmade, 2005).	1788802	P76555	b2460	8102	JW2444	Null
EG14191	ECK2456	eutP	ypfD	aa	159	Counterclockwise	2574978	2575457	55.48	17658.85	putative P-loop NTPase ethanolamine utilization protein	Null	Probable P-loop NTPase ethanolamine utilization protein	The eut operon has been characterized in Salmonella.	1788803	P76556	b2461	8105	JW2445	Null
EG14192	ECK2457	eutS	ypfE	aa	111	Counterclockwise	2575470	2575805	55.49	11649.56	putative ethanol utilization carboxysome structural protein 	Null	Ethanolamine catabolic microcompartment shell protein	The eut operon has been characterized in Salmonella. The ethanolamine catabolic microcompartment, also called a carboxysome or metabolosome, is thought to help contain the volatile acetaldehdye intermediate (Penrod, 2006).	87082109	P63746	b2462	8108	JW2446	Null
EG14193	ECK2458	maeB	ypfF	aa	759	Counterclockwise	2576098	2578377	55.50	82417.38	malic enzyme: putative oxidoreductase/phosphotransacetylase	Putative enzyme; Not classified	Malic enzyme, NADP-dependent; NADP-ME	Acetyl-CoA and cAMP are allosteric inhibitors. Malate-inducible.	1788806	P76558	b2463	8111	JW2447	Null
EG14194	ECK2461	ypfG	None	aa	347	Counterclockwise	2581734	2582777	55.62	38746.38	DUF1176 family protein	Null	DUF1176 family protein	The first 21 aa of YpfG are predicted to be a type I signal peptide	1788809	P76559	b2466	8120	JW2450	Null
EG14195	ECK2469	ypfH	None	aa	232	Counterclockwise	2593072	2593770	55.87	24855.06	palmitoyl-CoA esterase activity, uncertain physiological substrate	Null	Palmitoyl-CoA esterase activity; physiological function unknown	YpfH has in vitro esterase activity with palmitoyl-CoA and pNP-butyrate but the physiological substrate is not known (Kuznetsova, 2005).	87082111	P76561	b2473	8145	JW5396	Null
EG14196	ECK2470	tmcA	ypfI	aa	671	Counterclockwise	2593844	2595859	55.88	74892.52	elongator methionine tRNA (ac4C34) acetyltransferase	Enzyme; tRNA modification	Elongator methionine tRNA (ac4C34) acetyltransferase; tRNA N(4)-acetylcytidine acetyltransferase	Null	1788818	P76562	b2474	8150	JW2459	Null
EG14197	ECK2471	ypfJ	None	aa	287	Counterclockwise	2595874	2596737	55.93	31460.19	putative neutral zinc metallopeptidase	Putative enzyme; Not classified	Predicted neutral zinc metallopeptidase	YpfJ could be cross-liked to FusA in vivo (Yang, 2012). The metalloprotease prediction is based on the annotation for PF04228.	1788819	P64429	b2475	8153	JW2460	Null
EG14198	ECK2375	alaC	yfdZ	aa	412	Counterclockwise	2497057	2498295	53.80	46216.21	glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (GPT); alanine transaminase	Enzyme; Amino acid biosynthesis: Alanine	Glutamate-pyruvate aminotransferase; glutamic-pyruvic transaminase (GPT); alanine transaminase	The alaC-ypdA divergent promoter region binds ArcA (Federowicz, 2014).	1788722	P77434	b2379	7850	JW2376	Null
EG14199	ECK2490	bepA	yfgC	aa	487	Clockwise	2616094	2617557	56.36	53907.92	OM protein maintenance and assembly metalloprotease and chaperone, periplasmic	Null	Periplasmic metalloprotease and chaperone; outer membrane protein maintenance and assembly	BepA(YfgC) is an EDTA-sensitive protease involved in the degradation of misfolded outer membrane proteins BamA and LptD; BepA is required for proper disulfide bond isomerization of LptD; a BepA protease active site mutant loses protease activity but retains partial LptD refolding activity; BepA binds BamA, possibly through its C-terminal TPR repeats, and this may be responsible for the membrane association of a portion of soluble periplasmic BepA (Narita, 2013). LoiP(YggG) interacts with the periplasmic metalloprotease/chaperone BepA(YfgC) required for the OM attachment of LoiP(YggG) (Lütticke, 2012). BepA(YfgC) is a TPR-repeats-containing protein of the M48 protease family; BepA(YfgC) has four tandem TPR (tetratricopeptide repeat) domains at residues 309 to 460. A bepA(yfgC) mutant has increased sensitivity to several antibiotics (Girgis, 2009). Overexpression of BepA(YfgC)causes abnormal biofilm architecture. The first 27 residues of BepA are predicted to be a type I signal peptide. Gene disruption does not cause growth defect, unpublished data Y. Akiyama cited in (Sakoh, 2005). htpX, loiP(yggG), bepA(yfgC) and ycaL are paralogs. RpoE regulon.	1788840	P66948	b2494	8212	JW2479	Null
EG14200	ECK2491	yfgD	None	aa	119	Clockwise	2617578	2617937	56.39	13398.58	putative oxidoreductase	Putative enzyme; Not classified	Function unknown	Null	1788841	P76569	b2495	8214	JW2480	Null
EG14201	ECK2492	hda	idaB, yfgE	aa	233	Counterclockwise	2618075	2618776	56.40	26632.70	ATPase regulatory factor involved in DnaA inactivation	Putative factor; Not classified	Required for regulatory inactivation of DnaA; multicopy suppressor of dnaN(ts)	hda is a dnaA paralog. The interaction of Hda with DNA polymerase III (beta) is mediated via the hexapeptide sequence and it is this interaction that may lead to events that result in DnaA inactivation. Hda-ADP is the monomeric active form for promoting clamp-mediated DNA-ATP hydrolysis (Su'etsugu, 2008). Hda has a verified CTG start codon (Su'etsugu, 2008). otherPDB (S. amazonensis): 3BOS.	; 1788842	P69931	b2496	8217	JW5397	CG81103
EG14202	ECK2499	yfgF	None	aa	747	Counterclockwise	2626695	2628938	56.59	85607.67	cyclic-di-GMP phosphodiesterase, anaerobic	Enzyme; Not classified	Cyclic-di-GMP phosphodiesterase, anaerobic; dual domain protein; defective cyclase domain; predicted membrane sensor protein	Overexpression of yfgF suppresses the motility defect of yhjH mutations (Girgis, 2007). YfgF does not have diguanylate cyclase activity and is an active cyclic-di-GMP phosphodiesterase (Lacey, 2010). YfgF has an N-terminal MASE1 transmembrane signaling domain, a defective diguanylate cyclase domain, then a C-terminal cyclic-di-GMP phosphodiesterase domain; the PDE domain has EIL instead of EAL. YfgF is expressed during anaerobic growth maximally in stationary phase at low temperatures and yfgF is regulated by FNR (Lacey, 2010). yfgF mutations increase biofilm formation and peroxide sensitivity (Lacey, 2010).	1788849	P77172	b2503	8240	JW2488	Null
EG14203	ECK2500	yfgG	None	aa	63	Clockwise	2629290	2629481	56.65	7461.62	uncharacterized protein	Null	Function unknown	Null	1788851	P64545	b2504	8247	JW5399	Null
EG14204	ECK2501	yfgH	None	aa	172	Clockwise	2629792	2630310	56.66	17705.06	outer membrane integrity lipoprotein	Putative membrane; Not classified	Outer membrane integrity lipoprotein	YfgH is needed for outer membrane integrity as evidenced by membrane blebbing after vancomycin treatment, antibiotic hypersensitivity, lowered outer membrane protein content and elevated levels of DegP (Babu, 2011). The first 21 aa of YfgH are a type II signal peptide.	1788852	P65290	b2505	8250	JW5400	Null
EG14205	ECK2502	yfgI	None	aa	179	Clockwise	2630326	2630865	56.67	20230.40	nalidixic acid resistance protein, putative periplasmic protein	Null	Nalidixic acid resistance protein, function unknown; predicted periplasmic location	A yfgI mutation confers sensitivity to nalidixic acid (Škunca, 2013). The first 19 aa of YfgI are predicted to be a type I signal peptide.	1788853	P76573	b2506	8252	JW2490	Null
EG14206	ECK2506	yfgJ	None	aa	71	Counterclockwise	2635599	2635814	56.78	7994.28	DUF1407 family protein	Null	Required for swarming phenotype, function unknown	YfgJ is a member of DUF1407 and has 2 putative C4-type zinc fingers at positions 5-24 and 34-54.	87082119	P76575	b2510	8266	JW5402	Null
EG14207	ECK2507	der	engA, yfgK	aa	490	Counterclockwise	2635884	2637356	56.79	55035.87	GTPase; multicopy suppressor of ftsJ	Putative factor; Not classified	Multicopy suppressor of ftsJ, GTPase, ribosome biogenesis; depleted cells form filaments with defective chromosome segregation; Der-YhiI complex	Der-depletion alters ribosome stability and/or biogenesis, as evidenced by polysome profiles (Bharat, 2006). YihI stimulates Der GTPase, possibly acting as a negative regulator of 50S ribosome assembly and retarding early exponential growth (Hwang, 2010). Der has two tandem GTP-binding domains. der is an essential gene. Der and YihI form a complex, as does Der-delta200 (lacking the N-terminal 200 aa domain of Der) and YihI-delta45 (lacking the N-terminal 45 amino acids of YihI) (Kobayashi, 2009; Hwang, 2010). Der and YihA are paralogs, with YihA matching the C-terminal GTPase domain better than the N-terminal GTPase domain. The YhiI stimulation of Der GTPase activity requires both Der Ser16 and Ser216, indicating both Der GTP-binding domain activities are required for Der GTPase activity (Hwang, 2010).	; 87082120	P0A6P5	b2511	8270	JW5403	CG77847
EG14208	ECK2508	bamB	yfgL	aa	392	Counterclockwise	2637474	2638652	56.82	41887.21	BamABCDE complex OM biogenesis lipoprotein	Null	Beta-propeller lipoprotein in OM biogenesis BamABCDE complex; WD40/PQQ repeats; mutant has pleiotropic envelope defects; required for swarming phenotype	BamB has an eight-bladed beta-propeller structure comprised of eight WD40/PQQ fold repeats (Gatsos, 2008; Kim, 2011; Heuck, 2011; Noinaj, 2011; Albrecht, 2011). BamB binds PQQ and is involved in the PQQ-mediated radiation stress response, bamB mutants are UV-sensitive, and BamB has PQQ-stimulated autophosphorylating Ser/Thr protein kinase activity (Khairnar, 2007). RpoE regulon. Deletion of bamB in strain LF82 resulted in a decreased ability to invade intestinal epithelial cells and a decreased release of outer membrane vesicles. A mutant of bamB in Salmonella enteritidis has lowered chick cell invasion, flagellar protein secretion, and motility. The first 19 aa of BamB are a type II signal peptide. HT_Cmplx45_Mem: HflC+HybC+BamB.	; 1788859	P77774	b2512	8272	JW2496	CG98715
EG14209	ECK2509	yfgM	None	aa	206	Counterclockwise	2638663	2639283	56.85	22176.06	ancillary SecYEG translocon subunit; putative anti-RcsB factor	Null	Ancillary SecYEG translocon subunit; putative anti-RcsB factor; membrane protein	YfgM co- purifies with the SecYEG translocon and a yfgM deletion further compromises the integrity of the outer membrane in either a surA or skp mutant backgrounds (Götzke, 2014). YfgM overproduction decreases acid resistance like an rcsB mutation does, YfgM is degraded by FtsH, and YfgM may be an anti-RcsB factor (Westphal, 2012). HT_Cmplx42_Mem: RcsB+YfgM (Lasserre, 2006). A native membrane complex of YfgM and PpiD has been detected (Maddalo, 2011). YfgM may be ribosome associated (Jiang, 2007). 7/55 YfgM peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007). UPF0070 family.	1788860	P76576	b2513	8274	JW2497	Null
EG14210	ECK2515	pbpC	yfgN	aa	770	Counterclockwise	2645013	2647325	56.98	85066.95	penicillin-insensitive murein repair transglycosylase; inactive transpeptidase domain protein	Enzyme; Murein sacculus, peptidoglycan	Penicillin-insensitive murein repair transglycosylase; inactive transpeptidase domain	PbpC has a penicillin-insensitive transglycosylase N-terminal domain. PbpC has a transpeptidase-like C-terminal domain that does not seem to be functional. PbpC is a membrane-bound periplasmic enzyme that has an uncleaved signal anchor	1788867	P76577	b2519	8294	JW2503	Null
EG14211	ECK2479	hyfC	None	aa	315	Clockwise	2603847	2604794	56.10	34359.26	hydrogenase 4, membrane subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Putative hydrogenase 4 component C; membrane protein of Hyf electron transfer complex of FHL system	Null	; 87082115	P77858	b2483	8183	JW2468	CG55689
EG14212	ECK2480	hyfD	None	aa	479	Clockwise	2604811	2606250	56.12	51754.60	hydrogenase 4, membrane subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Putative hydrogenase 4 component D; membrane protein of Hyf electron transfer complex of FHL system	Null	; 1788829	P77416	b2484	8185	JW2469	CG55693
EG14213	ECK2481	hyfE	None	aa	216	Clockwise	2606262	2606912	56.15	23361.49	hydrogenase 4, membrane subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Hydrogenase 4 component E; membrane protein of Hyf electron transfer complex of FHL system	Null	; 1788830	P0AEW1	b2485	8188	JW2470	CG55696
EG14214	ECK2482	hyfF	None	aa	526	Clockwise	2606917	2608497	56.16	56767.15	hydrogenase 4, membrane subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Putative hydrogenase 4 component F; membrane protein of Hyf electron transfer complex of FHL system	Null	; 1788831	P77437	b2486	8191	JW2471	CG55699
EG14215	ECK2483	hyfG	None	aa	555	Clockwise	2608487	2610154	56.20	63383.49	hydrogenase 4, subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Putative hydrogenase 4 component G; membrane protein of Hyf electron transfer complex of FHL system	Null	; 1788832	P77329	b2487	8194	JW2472	CG55703
EG14216	ECK2484	hyfH	None	aa	181	Clockwise	2610164	2610709	56.23	20159.37	hydrogenase 4, Fe-S subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Hydrogenase 4 component H; membrane protein of Hyf electron transfer complex of FHL system	Null	; 1788833	P77423	b2488	8196	JW2473	CG55707
EG14217	ECK2485	hyfI	None	aa	252	Clockwise	2610706	2611464	56.25	28101.30	hydrogenase 4, Fe-S subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Hydrogenase 4 component I; membrane protein of Hyf electron transfer complex of FHL system	Null	; 1788834	P77668	b2489	8198	JW5805	CG55712
EG14218	ECK2486	hyfJ	None	aa	137	Clockwise	2611457	2611870	56.26	15576.98	putative processing element hydrogenase 4	Putative factor; Not classified	Hydrogenase 4 component J; membrane protein of Hyf electron transfer complex of FHL system	Null	; 87082116	P77453	b2490	8200	JW2475	CG55715
EG14219	ECK2487	hyfR	None	aa	670	Clockwise	2611900	2613912	56.27	75305.23	hydrogenase-4 transcriptional activator	Putative regulator; Not classified	Formate-sensing regulator for hyf operon	Null	; 87082117	P71229	b2491	8204	JW2476	CG55719
EG14220	ECK2488	focB	None	aa	282	Clockwise	2613934	2614782	56.31	30564.60	putative formate transporter	Putative transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Probable bidirectional formate transporter 2	Null	; 1788837	P77733	b2492	8206	JW2477	CG55723
EG14221	ECK2489	yfgO	perM	aa	353	Counterclockwise	2614820	2615881	56.33	39194.44	putative UPF0118 family inner membrane permease	Putative transport; Not classified	Function unknown, predicted permease, UPF0118 family	Null	1788838	P0AFI9	b2493	8208	JW2478	Null
EG14222	ECK2593	bamD	ecfD, yfiO	aa	245	Clockwise	2736146	2736883	58.95	27829.40	BamABCDE complex OM biogenesis lipoprotein	Null	TPR-repeat lipoprotein required for OM biogenesis; in BamABCDE complex	BamD is comprised of five TPR (tetratricopeptide) repeats, the last four of which are involved in protein-protein interactions (Gatsos, 2008; Albrecht, 2011). BamD is homologous to N. gonorrhoeae competence protein ComL. The first 19 aa of BamD are a type II signal peptide. ybgF and bamD are distant paralogs. otherPDB(R. marinus):3QKY (Sandoval, 2011).	; 1788947	P0AC02	b2595	8536	JW2577	CG98727
EG14223	ECK2581	yfiP	None	aa	232	Clockwise	2719223	2719921	58.58	25995.01	DTW domain protein	Null	DTW domain protein, function unknown	Null	87082133	Q47319	b2583	8503	JW5409	Null
EG14224	ECK2582	pka	pat (S.t.), patZ, yfiQ	aa	886	Clockwise	2719953	2722613	58.60	97987.47	protein lysine acetyltransferase	Enzyme; Proteins - translation and modification	Protein lysine acetyltransferase	In E. coli K-12 the patA gene name mnemonic has already been used for putrescine aminotransferase, precluding its use as a primary gene name for pka(yfiQ) (Shaibe, 1985). Seven E. coli proteins, RcsB, RutR, McbR, RpsD, MltD, YcjR, and YbaB, were found to be Salmonella Pat(YfiQ) substrates modifiable by lysine acetylation in vitro using protein chips (Thao, 2010). RcsB is acetylated at Lys180 by purified E. coli Pka(YfiQ) in vitro, blocking its ability to bind to DNA, and Lys180 is deacetylated by CobB in vitro (Thao, 2010). pka(yfiQ) was named pat for protein acetyltransferase in Salmonella where it inhibits acetyl CoA synthase Acs by acetylating residue K609 (Starai, 2004). Acetyl CoA synthase (Acs) is activated by sirtuin homolog CobB-mediated deacetylation of K609 in Salmonella (Starai, 2002). More than 100 proteins have acetylated lysines in E. coli (Yu, 2008; Zhang, 2008). CobB is likely to have a limited role in general protein lysine deacetylation since only four protein bands were changed in an E. coli cobB mutant (Zhang, 2008). A deletion of pka(yfiQ) did not prevent general protein lysine acetylation of the human chemokine RANTES when cloning in E. coli BL(21); instead, non-enzymatic lysine acetylation of isolated RANTES inclusion bodies by acetyl-CoA was demonstrated and non-enzymatic processes may also be responsible for general lysine acetylation of proteins in E. coli (d'Alayer, 2007). RNase R (Rnr) is de-stabilized by proteolysis in exponential phase relative to stationary phase due to Pka-mediated acetylation of Rnr Lys544 in exponential phase only (Liang, 2011).	1788938	P76594	b2584	8506	JW2568	Null
EG14225	ECK2600	yfiR	None	aa	172	Clockwise	2741875	2742393	59.07	18978.10	putative periplasmic inhibitor of YfiN activity	Null	Redox-sensitive inhibitor of DgcN actvity, periplasmic; required for swarming motility	In the E. coli UPEC strain UTI89, YfiR is a redox-sensitive, DsbA-dependent, periplasmic regulator of the diguanylate cyclase DgcN(YfiN) (Hufnagel, 2014; Hufnagel, 2017). A yfiR deletion abolishes swarming motility with only a slight effect on swimming and suppresses the swimming motility defect of yhjH mutations (Girgis, 2007). The first 22 aa of YfiR are predicted to be a type I signal peptide. The P. aeruginosa ortholog DgcN(YfiN) is an inner membrane-associated diguanylate cyclase whose activity is negatively regulated by the P. aeruginosa periplasmic protein YfiR; the P. aeruginosa OM lipoprotein YfiB counteracts YfiR inhibition of DgcN(YfiN) (Malone, 2010). YfiR might interact with the predicted N-terminal periplasmic domain of DgcN(YfiN).	1788955	P64548	b2603	8568	JW2584	Null
EG14226	ECK2608	ypjD	corE(S.t.)	aa	263	Clockwise	2747962	2748753	59.20	29262.11	cytochrome c assembly protein family inner membrane protein	Null	Cytochrome c assembly protein family inner membrane protein, function unknown; eight predicted transmembrane helices	The Salmonella YpjD ortholog was named as corE in Genbank AF130857. YpjD is homologous to cytochrome c-type biogenesis gene ccsA, magnesium-chelatase subunit gene chlI, and heme-exporter gene hemX (Pfam PF01578).	1788964	P64432	b2611	8591	JW2592	Null
EG14228	ECK3035	yqiG'	None	aa	822	Clockwise	3186061	3189865	68.64	92103.84	pseudogene; fimbrial export usher family	Putative membrane; Not classified	Pseudogene reconstruction, FimD family, interrupted by IS2I; fimbrial export usher protein family	The first 21 aa of YqiG' are predicted to be a type I signal peptide. The first ten amino acids of this reconstruction come from the other side of the IS2I insertion. Probable false positive lipoprotein prediction, Cys not conserved. YqiH (putative fimbrial chaperone), and YqiG' (putative fimbrial export usher protein) are encoded in an IS2I-interrupted putative fim operon.	48994919	P76655	b3046	10001	JW5507	Null
EG14229	ECK3036	yqiH	None	aa	249	Clockwise	3189881	3190630	68.72	28491.95	putative periplasmic pilin chaperone	Putative factor; Surface structures	Predicted periplasmic fimbrial chaperone, function unknown	Probable false positive lipoprotein prediction, Cys not conserved. The first 25 aa of YqiH are a predicted type I signal peptide. YqiH has Ig-like domains: pfam PF00345 aligns to N-terminal residues 26-144, and pfam PF02753 aligns to C-terminal residues 160-227. YqiH (putative chaperone), and YqiG' (putative export usher protein) are encoded in an IS2I-interrupted putative fim operon.	87082203	P77616	b3047	10003	JW5508	Null
EG14230	ECK3037	yqiI	None	aa	354	Clockwise	3190632	3191696	68.74	38554.80	fimbrial protein	Structural component; Surface structures	Fimbrial protein, required for swarm motility; also required for flagellin production and methylglyoxal resistance	The first 21 aa of YqiI are predicted to be a type I signal peptide. YqiI (fimbrial protein, PF00419), YqiH (putative chaperone), and YqiG' (putative export usher protein) are encoded in an IS2I-interrupted putative fim operon. The C-terminal domain of paralogs yqiI and ybgO may be distantly related to FimA. An insertion in yqiI confers increased sensitivity to methylglyoxal and dihydroxyacetone in a gloA mutant background; yqiI mutants have reduced flagellin and impaired motility (Kim, 2007).	1789427	P76656	b3048	10005	JW5509	Null
EG14231	ECK3039	yqiJ	None	aa	209	Clockwise	3192208	3192837	68.77	23087.13	DUF1449 family inner membrane protein	Putative enzyme; Not classified	DUF1449 family inner membrane protein, function unknown	yqiK and yqiJ probably form an operon; PHB and NfeD/STOPP family proteins are often operonic. YqiJ was reported to be an NfeD/STOPP family protein by Chiba (2006). DUF1449 and NfeD may be part of a superfamily as a pfam Motif Scan of YqiK also hits the Nfed motif (E = 0.0029).	1789429	P76657	b3050	10011	JW3022	Null
EG14232	ECK3040	yqiK	None	aa	553	Clockwise	3192864	3194525	68.79	60699.66	PHB family membrane protein, function unknown	Putative membrane; Not classified	PHB family membrane protein, function unknown	yqiK and yqiJ probably form an operon; PHB and NfeD/STOPP family proteins are often operonic. YqiK overproducing cells are enlarged and contain opaque cellular inclusions (H. Plattner, University of Konstanz, unpublished data cited in Hinderhofer, 2009). The PHB domain is also called the SPFH domain, named after the proteins Stomatin, Prohibitin, Flotillin and HflK/C (Tavernarakis, 1999; Morrow, 2005; Rivera-Milla, 2006; Browman, 2007). YqiK belongs to subfamily SPFH2b (Hinderhofer, 2009).	1789430	P77306	b3051	10013	JW3023	Null
EG14233	ECK0564	cusC	ibeB, silC(S.t.), ylcB	aa	457	Clockwise	595600	596973	12.83	50269.59	copper/silver efflux system, outer membrane component	Putative transport; Drug/analog sensitivity	Silver and copper efflux, OMF lipoprotein component; outer membrane factor (OMF) of a tripartate efflux pump; confers copper and silver resistance; required for invasion of brain microvascular endothelial cells in strain K1	cusC is in the cusCFBA Cu/Ag efflux operon regulated by Cu and Ag. TolC, MdtQ, MdtP and CusC are paralogs. The first 17 aa of CusC are a type II signal peptide.	; 1786785	P77211	b0572	1958	JW0561	CG62525
EG14234	ECK0565	cusF	cusX, silF(S.t.), ylcC	aa	110	Clockwise	597131	597463	12.86	12251.16	periplasmic copper- and silver-binding protein	Null	Silver- and cuprous copper-binding protein, periplasmic; efflux metallochaperone; confers copper and silver resistance; CusF binds both Cu(I) and Ag(I) with high affinity, but does not bind Cu(II)	Soluble periplasmic CusF binds Cu(I) specifically but weakly, probably explaining why it was not detected using Cu(I)-MIRAGE (Kittleson, 2006; Sevcenco, 2009; Sevcenco, 2012). cusF is in the cusCFBA Cu/Ag efflux operon regulated by Cu and Ag. The first 22 aa are predicted to be a type I signal peptide. However, N-terminal sequencing revealed cleavage after residue 21; the CusF clone construct had eight additional amino acids added at the N-terminus; the cleavage specificity may have been altered by the additional amino acids or the prediction is incorrect (Fanake, 2003). 	; 1786786	P77214	b0573	1967	JW0562	CG81269
EG14235	ECK0566	cusB	silB(S.t.), ylcD	aa	407	Clockwise	597479	598702	12.87	44304.90	copper/silver efflux system, membrane fusion protein	Putative transport; Drug/analog sensitivity	Silver and copper efflux, membrane fusion protein; confers copper and silver resistance	cusB is in the cusCFBA Cu/Ag efflux operon regulated by Cu and Ag.	; 1786787	P77239	b0574	1969	JW0563	CG81273
EG14236	ECK0356	yaiX'	yaiF	aa	230	Counterclockwise	380844	382872	8.20	24931.88	pseudogene, interrupted by IS2A; hexapeptide transferase superfamily	Null	Pseudogene reconstruction, hexapeptide transferase superfamily; interrupted by IS2A	IS2A is inserted at codon 93 of the reconstructed yaiX' and creates a 5 bp target site duplication ATTAC. An intact allele of yaiX' is present in E. coli O6:K15:H31, strain 536 (UniProtKB: Q0TGD0). A close homolog can be found in E. coli 350C1 (UniProtKB: Q9ALL4). YaiX' is homologous to glucose-1-phosphate and other acyltransferases. YaiX' belongs to the hexapeptide transferase superfamily and has 6 hexapeptide repeats.	87082443	P75697	b4579	1241; 1232	JW0350	Null
EG14237	ECK0451	ylaB	None	aa	516	Counterclockwise	477067	478617	10.28	58720.39	putative membrane-anchored cyclic-di-GMP phosphodiesterase	Null	Predicted membrane-anchored cyclic-di-GMP phosphodiesterase	YlaB has an N-terminal predicted periplasmic CSS domain (PF12792) flanked by two TM segments and has a C-terminal cytoplasmic EAL PDE domain.	87081743	P77473	b0457	1584	JW5062	Null
EG14238	ECK0452	ylaC	None	aa	156	Counterclockwise	478781	479251	10.31	18267.19	DUF1449 family inner membrane protein	Null	DUF1449 family inner membrane protein, function unknown	The pfam10777 profile is based on alignments of homologs to E. coli YlaC, but is mislabeled with the function of the unrelated, YlaC sigma factor from B. subtilis. YlaC is degraded by FtsH (Arends, 2016).	87081744	P0AAS0	b0458	1587	JW5063	Null
EG14239	ECK0453	maa	ylaD	aa	183	Counterclockwise	479367	479918	10.33	20095.99	maltose O-acetyltransferase	Putative enzyme; Not classified	Maltose O-acetyltransferase	Maa contains hexapeptide repeats.	; 1786664	P77791	b0459	1591	JW0448	CG36808
EG14240	ECK0459	mscK	aefA, kefA, pnuH(S.t.)	aa	1120	Clockwise	486536	489898	10.48	127215.28	mechanosensitive channel protein, intermediate conductance, K+ regulated	Null	Mechanosensitive channel protein, intermediate (smaller, MscS-like) conductance, K+ regulated; regulation of ion balance and turgor pressure at high osmolarity; also may affect activity of mechanosensitive channel MscS	Consistently co-purifies with the degradosome. Probable false positive lipoprotein prediction, 12 CM TMs, Cys not conserved. The first 33 aa of MscK are predicted to be a type I signal peptide; the first 40 aa of MscK enable export of a fusion protein into the periplasm (McLaggan, 2002). mscS, kefA, yjeP, ybiO, ybdG and ynaI are paralogs.	; 1786670	P77338	b0465	1613	JW0454	CG82536
EG14241	ECK0872	clpS	yljA	aa	106	Clockwise	922913	923233	19.88	12179.06	regulatory protein for ClpA substrate specificity	Null	Substrate modulator for ClpAP; directs protease activity towards aggregated proteins	ClpS is needed for the degradation of N-end rule substrates by ClpAP. clpS is a non-essential gene. ClpS is homologous to eukaryotic E3 ubiquitin ligase n-recognin (Lupas, 2003).	; 1787108	P0A8Q6	b0881	2998	JW0865	CG76936
