	Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose 	Succinate	Fructose
1972	P23840	DNA-damage-inducible protein D OS=Escherichia coli (strain K12) GN=dinD PE=4 SV=1	dinD	2	60.26	31041.03114	1	0	0		2	5	3	0	0	0	3	0	1	0	1	0	2	0			1	3	
1973	P08191	Protein fimH OS=Escherichia coli (strain K12) GN=fimH PE=1 SV=2	fimH	2	87.32	31435.888560000003	1	17	22		2	2	15	29	1	8	35	4	19	114	48	25	7	8			6	15	
1974	P0AC92	Protein gnsA OS=Escherichia coli (strain K12) GN=gnsA PE=3 SV=1	gnsA	2	187.12	6553.4273299999995	2	1269	2931	2525.0	506	775	1060	1005	702	812	435	535	311	464	555	1351	1429	1472	1082.0	1109.0	881	974	1146.0
1975	P0AES9	Chaperone-like protein hdeA OS=Escherichia coli (strain K12) GN=hdeA PE=1 SV=1	hdeA	2	133.99	11832.1397	2	2099	3861	3198.0	34973	6378	7349	3012	1677	7992	11213	12260	14880	138311	152389	23001	5786	136643	7121.0	3094.0	14982	5373	4668.0
1976	P0AAN1	Hydrogenase-2 operon protein hybE OS=Escherichia coli (strain K12) GN=hybE PE=1 SV=1	hybE	2	108.7	17933.87874	1	110	121		13	27	60	37	32	49	104	7	25	39	3	32	76	28			22	59	
1977	P0AFM9	Phage shock protein B OS=Escherichia coli (strain K12) GN=pspB PE=1 SV=1	pspB	2	249.3	8739.601490000001	2	318	223	178.0	212	188	175	248	350	139	162	168	99	74	221	176	370	298	439.0	321.0	128	241	372.0
1978	P68191	Stationary-phase-induced ribosome-associated protein OS=Escherichia coli (strain K12) GN=sra PE=1 SV=1	sra	2	71.88	5074.75469	2	3458	1400	1844.0	4310	4886	5165	5474	3608	4312	4131	3923	3455	3921	1616	11673	5862	11511	4343.0	5561.0	4451	3900	3444.0
1979	P0AAQ2	Uncharacterized protein yajD OS=Escherichia coli (strain K12) GN=yajD PE=4 SV=1	yajD	2	56.79	13337.39409	2	103	122	46.0	79	159	176	187	151	137	132	92	61	272	56	58	45	30	119.0	148.0	104	128	131.0
1980	P37325	Uncharacterized protein ybcH OS=Escherichia coli (strain K12) GN=ybcH PE=4 SV=2	ybcH	2	108.94	33018.043789999996	1	5	5		5	4	6	3	2	10	10	13	10	34	18	9	11	5			4	3	
1981	P0AAV6	Uncharacterized protein ybgS OS=Escherichia coli (strain K12) GN=ybgS PE=4 SV=1	ybgS	2	150.55	12845.9355	2	338	646	445.0	301	289	338	238	190	181	233	298	324	894	1335	916	374	1155	413.0	311.0	417	274	180.0
1982	P58094	Uncharacterized protein yciX OS=Escherichia coli (strain K12) GN=yciX PE=4 SV=2	yciX	2	96.85	6315.89466	1	105	78		72	162	120	71	27	132	238	79	37	37	11	53	77	111			60	25	
1983	A5A614	UPF0509 protein yciZ OS=Escherichia coli (strain K12) GN=yciZ PE=3 SV=1	yciZ	2	76.54	6419.36264	1	14	11		9	8	18	8	25	6	68	24	3	0	7	5	3	2			3	8	
1984	P64463	Putative selenoprotein ydfZ OS=Escherichia coli (strain K12) GN=ydfZ PE=1 SV=1	ydfZ	2	93.66	7253.75327	2	18	13	8.0	15	14	16	12	16	14	22	23	21	10	7	28	33	52	20.0	19.0	32	16	6.0
1985	P64476	Uncharacterized protein ydiH OS=Escherichia coli (strain K12) GN=ydiH PE=4 SV=2	ydiH	2	116.77	7243.817140000001	2	569	271	176.0	539	305	365	200	250	214	189	204	165	279	255	2314	69	1887	800.0	338.0	216	231	252.0
1986	P64479	Uncharacterized protein ydiZ OS=Escherichia coli (strain K12) GN=ydiZ PE=4 SV=1	ydiZ	2	166.67	10840.26976	2	125	15	36.0	237	179	88	92	93	209	241	428	532	2	14	51	46	46	31.0	50.0	50	23	28.0
1987	P46887	Uncharacterized protein yecH OS=Escherichia coli (strain K12) GN=yecH PE=4 SV=2	yecH	2	116.06	8605.13839	1	3	3		1	5	3	4	8	1	16	9	0	13	7	13	18	16			2	3	
1988	P76471	Uncharacterized protein yfaZ OS=Escherichia coli (strain K12) GN=yfaZ PE=4 SV=2	yfaZ	2	87.59	18580.074380000002	1	3	2		1	75	4	3	0	8	47	7	1	1	1	5	4	3			0	4	
1989	P65292	Uncharacterized lipoprotein ygdI OS=Escherichia coli (strain K12) GN=ygdI PE=4 SV=1	ygdI	2	242.5	8150.86723	2	1446	586	1011.0	1243	2205	2086	1753	1809	1133	1770	2586	3963	3583	2382	2602	872	1859	648.0	1612.0	1978	1295	948.0
1990	P64614	Uncharacterized protein YhcN OS=Escherichia coli (strain K12) GN=yhcN PE=3 SV=1	yhcN	2	164.2	9172.6045	1	35	84		18	21	8	64	15	44	28	27	23	813	123	40	59	65			14	20	
1991	P0ADX5	Uncharacterized protein yhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	yhfG	2	78.06	6576.51859	2	25	30	22.0	7	14	28	16	8	11	19	30	36	465	301	58	20	79	20.0	31.0	105	23	17.0
1992	P37615	Uncharacterized protein yhhM OS=Escherichia coli (strain K12) GN=yhhM PE=4 SV=1	yhhM	2	112.27	13470.028680000001	2	60	76	45.0	40	51	68	49	47	50	48	59	65	30	37	59	98	97	33.0	44.0	46	32	38.0
1993	Q2M7R5	Uncharacterized protein yibT OS=Escherichia coli (strain K12) GN=yibT PE=4 SV=1	yibT	2	102.72	7972.24394	2	642	559	534.0	240	391	537	446	421	277	208	257	295	985	765	499	711	492	219.0	336.0	278	222	248.0
1994	P18390	Uncharacterized protein yjjA OS=Escherichia coli (strain K12) GN=yjjA PE=4 SV=3	yjjA	2	89.46	17323.797440000002	2	211	400	255.0	114	196	190	224	205	143	132	114	111	79	29	271	247	292	224.0	178.0	178	181	206.0
1995	P64448	Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1	ynbE	2	67.73	6817.65486	2	83	104	119.0	46	74	99	87	78	71	63	50	52	61	47	131	73	133	99.0	76.0	68	83	145.0
1996	P76227	Uncharacterized protein ynjH OS=Escherichia coli (strain K12) GN=ynjH PE=4 SV=1	ynjH	2	95.54	9923.0098	1	139	354		91	82	120	115	123	235	247	152	190	994	715	198	144	138			86	107	
1997	A5A621	Uncharacterized protein ypfM OS=Escherichia coli (strain K12) GN=ypfM PE=1 SV=1	ypfM	2	82.44	2388.24459	1	2	1		1	5	2	9	5	0	15	0	0	0	0	0	0	0			0	0	
1998	P45795	Uncharacterized protein yrdB OS=Escherichia coli (strain K12) GN=yrdB PE=4 SV=1	yrdB	2	109.32	9982.602359999999	1	302	281		123	151	204	139	124	146	126	98	79	111	100	206	261	196			84	157	
1999	P21361	Uncharacterized protein yciG OS=Escherichia coli (strain K12) GN=yciG PE=1 SV=1	yciG	2	122.19	5980.82158	2	64	69	106.0	33	35	66	71	45	47	70	66	60	1372	118	395	350	2864	85.0	74.0	62	23	58.0
2000	P23477	ATP-dependent helicase/deoxyribonuclease subunit B OS=Bacillus subtilis GN=addB PE=1 SV=2	addB	2	67.35	134541.5039	2	13	22	18.0	12	14	14	11	11	11	15	15	13	13	14	22	22	25	15.0	17.0	20	12	12.0
2001	P76445	Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2	yeiU	2	95.45	26723.51423	2	17	55	38.0	1	7	2	4	4	13	9	7	2	2	2	8	21	7	17.0	7.0	4	7	24.0
2002	P0A6W0	Glutaminase 2 OS=Escherichia coli (strain K12) GN=glsA2 PE=3 SV=1	glsA	2	70.09	33476.096139999994	1	5	9		1	4	1	0	0	1	0	0	0	17	0	0	4	0			0	0	
2003	P0ACC1	Protein methyltransferase hemK OS=Escherichia coli (strain K12) GN=hemK PE=1 SV=1	hemK	2	65.34	30937.63414	1	2	40		0	2	6	5	9	2	1	16	0	1	0	1	14	3			1	5	
2004	P00892	Acetolactate synthase isozyme 2 large subunit OS=Escherichia coli (strain K12) GN=ilvG PE=1 SV=3	ilvG	2	114.77	59228.742210000004	2	52	44	22.0	13	29	31	35	72	23	6	3	2	1	0	15	61	2	60.0	20.0	10	28	37.0
2005	B8LFD5	Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1		2	72.86	38834.1893	2	19	20	14.0	14	18	13	18	20	17	17	13	15	5	4	15	11	9	27.0	29.0	17	25	23.0
2006	P45532	Sulfurtransferase tusD OS=Escherichia coli (strain K12) GN=tusD PE=1 SV=1	tusD	2	244.97	13614.822	1	25	14		18	56	20	20	51	20	9	36	3	3	18	41	2	59			18	23	
2007	P0AB18	Sulfurtransferase tusE OS=Escherichia coli (strain K12) GN=tusE PE=1 SV=1	tusE	2	128.32	12384.41873	1	482	797		346	446	569	387	332	448	405	367	270	208	215	391	410	407			242	410	
2008	P56258	4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2	wecF	2	51.35	40595.8448	2	5	14	10.0	3	4	6	7	5	5	3	3	4	0	3	5	14	7	10.0	6.0	5	6	10.0
2009	P27836	Probable UDP-N-acetyl-D-mannosaminuronic acid transferase OS=Escherichia coli (strain K12) GN=wecG PE=3 SV=2	wecG	2	99.73	27892.600860000002	1	30	58		13	14	22	19	8	17	5	7	5	3	1	25	27	31			8	16	
2010	P0AFU4	Uncharacterized protein yfhA OS=Escherichia coli (strain K12) GN=yfhA PE=3 SV=1	yfhA	2	42.63	49099.781189999994	1	9	36		3	11	13	8	3	39	27	21	36	1	2	7	10	14			5	10	
2011	P64423	Zinc transport protein ZntB OS=Escherichia coli (strain K12) GN=zntB PE=1 SV=1	zntB	2	68.87	36570.597219999996	2	9	30	15.0	12	12	17	17	6	21	18	18	15	26	23	20	29	32	20.0	12.0	13	10	19.0
2012	P24177	Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3	acrD	1	61.65	112957.1519	2	1	0	0.0	1	1	0	2	3	0	0	0	0	0	0	0	1	0	1.0	0.0	0	0	1.0
2013	P0AE14	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	1	77.03	32083.28877	2	4	10	4.0	6	5	2	4	7	5	5	9	15	0	0	0	1	0	0.0	1.0	0	1	0.0
2014	P76398	Multidrug resistance protein MdtB OS=Escherichia coli (strain K12) GN=mdtB PE=2 SV=1	mdtB	1	39.5	111988.6069	2	0	0	0.0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0.0	4.0	0	1	5.0
2015	P37637	Multidrug resistance protein MdtF OS=Escherichia coli (strain K12) GN=mdtF PE=1 SV=1	mdtF	1	68.45	111427.8252	2	0	1	0.0	0	0	0	0	1	0	1	1	3	4	5	0	1	21	0.0	0.0	1	0	0.0
2016	P0AAA9	Zinc resistance-associated protein OS=Escherichia coli (strain K12) GN=zraP PE=1 SV=1	zraP	1	90.86	15171.31795	2	2	1	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.0	0	0	0.0
2017	P33647	mRNA interferase ChpB OS=Escherichia coli (strain K12) GN=chpB PE=1 SV=1	chpB	1	81.77	12466.47567	2	72	46	46.0	104	83	103	84	133	70	73	68	69	58	52	87	77	74	84.0	167.0	174	174	165.0
2018	P0AFX7	Sigma-E factor negative regulatory protein OS=Escherichia coli (strain K12) GN=rseA PE=1 SV=1	rseA	1	89.56	24287.99697	2	44	60	42.0	30	64	47	66	73	38	44	34	38	8	10	14	36	89	50.0	52.0	41	51	37.0
2019	P18392	Sensor protein rstB OS=Escherichia coli (strain K12) GN=rstB PE=1 SV=2	rstB	1	36.15	49233.453239999995	2	6	4	8.0	3	5	7	8	7	4	5	5	5	1	0	2	5	2	6.0	4.0	3	8	9.0
2020	P76502	Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1	sixA	1	48.15	17178.5693	2	61	49	54.0	23	31	55	37	39	29	23	17	11	33	22	33	49	66	39.0	33.0	23	38	35.0
2021	P41039	Uncharacterized protein ybiI OS=Escherichia coli (strain K12) GN=ybiI PE=1 SV=1	ybiI	1	90.93	9731.70726	2	3	4	36.0	3	9	9	4	1	3	0	3	0	0	4	73	14	13	9.0	0.0	1	2	0.0
2022	P0AD14	Inner membrane protein yehU OS=Escherichia coli (strain K12) GN=yehU PE=1 SV=1	yehU	1	55.56	62034.634439999994	2	0	1	2.0	2	1	0	1	5	5	4	4	4	0	0	0	0	0	1.0	0.0	0	1	0.0
2023	P08365	Antitoxin ChpS OS=Escherichia coli (strain K12) GN=chpS PE=1 SV=1	chpS	1	63.4	9247.64529	1	9	1		1	54	2	2	1	1	0	1	0	1	2	12	20	7			0	1	
2024	P14376	Sensor kinase protein RcsC OS=Escherichia coli (strain K12) GN=rcsC PE=1 SV=3	rcsC	1	26.44	106420.8268	2	1	3	1.0	0	0	2	1	2	2	1	2	1	0	0	0	0	0	0.0	0.0	0	0	0.0
2025	P76446	Protein Rtn OS=Escherichia coli (strain K12) GN=rtn PE=2 SV=1	rtn	1	37.71	58532.56207000001	2	1	0	1.0	0	3	4	0	5	6	6	6	7	0	0	0	0	0	0.0	1.0	0	0	0.0
2026	P08368	Transcriptional regulatory protein CreB OS=Escherichia coli (strain K12) GN=creB PE=3 SV=1	creB	1	56.38	26090.80672	2	8	10	8.0	7	7	5	6	5	6	5	6	5	0	0	0	1	1	0.0	0.0	0	2	3.0
2027	P0AFJ5	Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1	phoB	1	36.0	26398.404	2	7	9	19.0	10	16	14	16	14	12	6	9	13	3	12	18	2	25	17.0	7.0	15	16	7.0
2028	P77302	Probable diguanylate cyclase YdaM OS=Escherichia coli (strain K12) GN=ydaM PE=1 SV=2	ydaM	1	55.61	46404.9105	2	3	17	7.0	12	14	17	14	3	26	22	11	6	11	8	16	3	13	10.0	14.0	11	23	11.0
2029	P31129	Diguanylate cyclase YdeH OS=Escherichia coli (strain K12) GN=ydeH PE=1 SV=2	ydeH	1	45.92	33823.93182	2	1	1	2.0	1	0	0	1	1	1	1	0	0	2	1	3	2	6	1.0	1.0	3	3	4.0
2030	P76237	Putative diguanylate cylase YeaJ OS=Escherichia coli (strain K12) GN=yeaJ PE=2 SV=2	yeaJ	1	80.07	56548.982939999994	2	1	2	2.0	3	2	3	1	1	2	3	3	4	4	3	1	1	3	1.0	1.0	3	0	0.0
2031	P76245	Probable diguanylate cyclase YeaP OS=Escherichia coli (strain K12) GN=yeaP PE=1 SV=2	yeaP	1	83.7	38503.42049	1	3	6		0	0	2	2	0	1	0	0	0	0	0	9	2	0			0	2	
2032	P23842	Uncharacterized protein YfeA OS=Escherichia coli (strain K12) GN=yfeA PE=2 SV=2	yfeA	1	49.69	83451.88215	2	1	3	1.0	1	1	2	1	1	4	4	3	3	0	1	0	3	1	1.0	0.0	0	0	0.0
2033	P32677	Uncharacterized HTH-type transcriptional regulator yijO OS=Escherichia coli (strain K12) GN=yijO PE=4 SV=1	yijO	1	51.31	32111.33842	1	2	14		2	1	2	3	2	3	2	10	2	0	0	12	8	7			2	4	
2034	P52106	CsgBAC operon transcriptional regulatory protein OS=Escherichia coli (strain K12) GN=csgD PE=1 SV=1	csgD	1	66.13	24902.0035	1	0	0		0	0	0	0	0	0	0	3	0	0	0	0	0	0			1	0	
2035	P0A8V0	Ribonuclease Z OS=Escherichia coli (strain K12) GN=rnz PE=1 SV=1	rbn	1	56.13	32890.88317	2	7	10	12.0	4	6	4	7	9	4	3	2	2	2	10	6	8	11	6.0	6.0	4	6	10.0
2036	P0A8H8	UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1	yacG	1	39.63	7283.40821	2	95	255	162.0	52	95	105	84	87	54	47	22	22	5	1	60	16	59	37.0	23.0	9	21	3.0
2037	P0AA97	Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1	yaeQ	1	32.68	20845.49274	2	2	7	3.0	1	2	1	2	2	1	1	1	0	0	0	3	1	1	1.0	2.0	1	0	2.0
2038	P0A8D3	UPF0178 protein yaiI OS=Escherichia coli (strain K12) GN=yaiI PE=1 SV=1	yaiI	1	57.75	16940.74665	2	49	54	56.0	24	24	31	34	27	28	19	12	8	15	12	55	27	46	33.0	17.0	8	15	24.0
2039	P51024	Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2	yaiL	1	48.09	19892.57974	2	88	158	157.0	55	69	92	52	42	56	34	29	25	77	17	42	73	119	44.0	56.0	39	73	83.0
2040	P0AAS9	Uncharacterized protein ybdD OS=Escherichia coli (strain K12) GN=ybdD PE=4 SV=1	ybdD	1	36.0	7444.44419	2	1	7	2.0	2	1	0	10	1	0	3	1	0	0	0	1	0	0	1.0	0.0	2	0	0.0
2041	P24252	Uncharacterized protein ybgA OS=Escherichia coli (strain K12) GN=ybgA PE=4 SV=1	ybgA	1	33.45	20180.488240000002	2	0	0	0.0	0	0	0	0	0	0	0	0	0	0	5	3	0	5	1.0	0.0	0	0	0.0
2042	P75767	UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1	ybhK	1	41.36	32749.41328	2	4	7	4.0	2	3	4	4	5	4	3	2	1	0	1	3	5	4	3.0	2.0	4	0	0.0
2043	P0A8C1	UPF0145 protein ybjQ OS=Escherichia coli (strain K12) GN=ybjQ PE=1 SV=1	ybjQ	1	37.68	11411.79062	2	87	128	52.0	87	109	79	110	85	115	121	141	120	36	37	73	100	79	97.0	132.0	122	86	78.0
2044	P75839	UPF0702 transmembrane protein ycaP OS=Escherichia coli (strain K12) GN=ycaP PE=3 SV=1	ycaP	1	43.73	26246.69386	2	4	2	1.0	8	16	14	13	11	19	26	30	35	8	3	5	8	12	10.0	16.0	29	16	14.0
2045	P37052	UPF0225 protein ychJ OS=Escherichia coli (strain K12) GN=ychJ PE=1 SV=2	ychJ	1	34.32	16960.9477	2	7	6	3.0	2	3	5	5	4	3	2	1	1	2	1	18	9	12	7.0	4.0	3	5	7.0
2046	P0ACV4	Inner membrane protein yciS OS=Escherichia coli (strain K12) GN=yciS PE=1 SV=1	yciS	1	60.05	11326.279779999999	2	58	39	148.0	135	146	156	166	169	188	211	192	183	118	100	148	249	220	182.0	172.0	176	163	192.0
2047	P0A8R7	UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1	ycjF	1	71.34	39349.43739	2	19	34	29.0	21	30	30	30	23	40	40	39	39	3	26	21	77	29	32.0	35.0	30	30	29.0
2048	P76076	Uncharacterized protein ydbL OS=Escherichia coli (strain K12) GN=ydbL PE=4 SV=2	ydbL	1	51.24	11852.35305	2	9	16	14.0	4	8	7	7	9	9	7	5	4	2	1	20	13	10	11.0	10.0	7	10	8.0
2049	P76231	Uncharacterized protein yeaC OS=Escherichia coli (strain K12) GN=yeaC PE=4 SV=2	yeaC	1	52.03	10313.09727	2	79	227	137.0	36	65	56	71	50	65	48	28	20	20	24	87	123	52	71.0	44.0	32	44	81.0
2050	P37348	UPF0759 protein yecE OS=Escherichia coli (strain K12) GN=yecE PE=1 SV=4	yecE	1	34.78	31441.297619999998	2	0	1	1.0	0	0	1	1	1	0	0	0	1	1	0	2	3	1	0.0	0.0	1	0	1.0
2051	P76318	Uncharacterized protein yedK OS=Escherichia coli (strain K12) GN=yedK PE=1 SV=2	yedK	1	91.47	24945.47371	2	2	4	2.0	1	1	1	1	1	2	1	2	1	19	8	3	3	3	2.0	2.0	2	2	1.0
2052	P0AD24	UPF0352 protein yejL OS=Escherichia coli (strain K12) GN=yejL PE=1 SV=1	yejL	1	38.65	8265.27759	2	299	501	329.0	151	211	219	227	227	191	153	153	125	215	217	503	380	414	267.0	256.0	178	217	263.0
2053	P33644	UPF0124 protein yfiH OS=Escherichia coli (strain K12) GN=yfiH PE=1 SV=1	yfiH	1	60.73	26304.0757	2	22	30	29.0	9	12	10	10	9	8	9	9	8	0	9	19	17	11	13.0	12.0	16	9	12.0
2054	P52060	UPF0235 protein yggU OS=Escherichia coli (strain K12) GN=yggU PE=3 SV=2	yggU	1	37.82	10431.763990000001	2	46	56	52.0	23	30	33	22	38	25	18	15	10	24	14	53	99	39	71.0	36.0	42	42	66.0
2055	P67624	UPF0270 protein yheU OS=Escherichia coli (strain K12) GN=yheU PE=3 SV=1	yheU	1	57.15	8446.2252	2	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0
2056	P23305	Uncharacterized protein yigA OS=Escherichia coli (strain K12) GN=yigA PE=4 SV=1	yigA	1	52.31	26693.896819999998	2	10	12	1.0	5	9	9	10	9	9	7	5	3	0	0	7	2	7	15.0	8.0	7	14	13.0
2057	P0ADB7	Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1	ecnB	1	135.52	4788.51531	2	35719	7923	22096.0	41705	50750	69721	40794	21274	43000	54110	50177	53332	157511	151162	98751	41000	68377	34144.0	42290.0	59709	37717	26707.0
2058	P67697	Antitoxin HicB OS=Escherichia coli (strain K12) GN=hicB PE=1 SV=2	hicB	1	23.54	15218.98275	2	189	7	6.0	62	86	97	118	111	72	65	110	133	78	60	128	177	100	74.0	104.0	81	86	124.0
2059	P0AB20	Heat shock protein hspQ OS=Escherichia coli (strain K12) GN=hspQ PE=1 SV=2	hspQ	1	67.23	11753.87245	1	15	5		10	0	119	0	14	3	0	0	2	62	24	0	30	2			6	3	
2060	P0ADV9	Lipopolysaccharide export system protein lptC OS=Escherichia coli (strain K12) GN=lptC PE=1 SV=1	lptC	1	27.46	21671.13798	2	58	89	65.0	57	83	61	58	54	61	60	59	79	42	30	68	44	44	63.0	78.0	82	76	79.0
2061	P0A8N0	UPF0268 protein ycbG OS=Escherichia coli (strain K12) GN=ycbG PE=3 SV=1	matP	1	32.82	17664.378780000003	2	52	43	25.0	34	49	30	69	58	37	37	25	17	21	21	25	43	20	29.0	43.0	23	33	51.0
2062	P77182	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC OS=Escherichia coli (strain K12) GN=mnmC PE=1 SV=2	mnmC	1	53.11	74368.85895	2	7	12	7.0	4	5	5	3	3	4	1	1	0	1	3	3	2	4	3.0	1.0	2	5	2.0
2063	P76079	Phenylacetic acid degradation protein paaC OS=Escherichia coli (strain K12) GN=paaC PE=1 SV=1	paaC	1	81.59	27842.07375	2	1	2	1.0	1	1	1	1	2	1	0	2	4	1	0	1	0	1	0.0	0.0	0	1	0.0
2064	P60782	Probable glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsY PE=1 SV=1	plsY	1	31.87	22160.83806	2	0	0	0.0	1	2	1	7	7	11	11	17	21	4	5	2	4	5	2.0	5.0	2	4	6.0
2065	P0AG71	DNA recombination protein rmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1	rmuC	1	65.89	54712.722129999995	2	1	7	4.0	1	3	3	2	3	3	3	3	4	1	0	0	1	0	1.0	2.0	2	1	1.0
2066	P18393	Uncharacterized protein ybdZ OS=Escherichia coli (strain K12) GN=ybdZ PE=4 SV=1	ybdZ	1	67.38	8247.87699	2	106	33	67.0	39	29	69	37	60	49	24	22	21	59	212	1154	35	102	474.0	18.0	13	66	34.0
2067	P0AB35	Uncharacterized protein ycfJ OS=Escherichia coli (strain K12) GN=ycfJ PE=4 SV=1	ycfJ	1	53.9	18890.71457	1	52	7		1	1	11	7	14	2	6	2	1	9	5	22	26	21			3	3	
2068	P77433	Uncharacterized protein ykgG OS=Escherichia coli (strain K12) GN=ykgG PE=3 SV=2	ykgG	1	203.75	25178.92327	2	2	68	1.0	2	2	1	1	9	0	3	1	0	0	0	1	0	0	0.0	0.0	0	1	0.0
2069	P42626	UPF0597 protein yhaM OS=Escherichia coli (strain K12) GN=yhaM PE=3 SV=3	yhaM	1	59.82	45314.01645	2	7	34	12.0	4	5	6	10	9	5	5	2	4	1	3	4	9	3	6.0	10.0	6	9	8.0
2070	P46474	Uncharacterized protein yhdP OS=Escherichia coli (strain K12) GN=yhdP PE=4 SV=4	yhdP	1	33.83	138949.1541	2	1	3	3.0	1	2	2	1	2	3	2	2	2	3	0	2	6	5	4.0	2.0	2	3	3.0
2071	P0AF59	Uncharacterized protein yjdI OS=Escherichia coli (strain K12) GN=yjdI PE=1 SV=1	yjdI	1	76.0	8526.257	1	104	30		40	0	16	44	27	62	18	5	74	80	31	39	41	49			2	33	
2072	P64517	Uncharacterized protein yodC OS=Escherichia coli (strain K12) GN=yodC PE=1 SV=1	yodC	1	60.88	6656.08542	1	22	4		21	30	9	28	4	12	13	22	6	0	2	1	11	23			4	6	
2073	P0AD40	Uncharacterized protein ypeB OS=Escherichia coli (strain K12) GN=ypeB PE=4 SV=1	ypeB	1	37.63	8391.61238	2	40	78	73.0	22	23	28	28	11	27	20	18	11	3	3	30	15	24	25.0	14.0	18	25	22.0
2074	P39321	Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2	tamB	1	75.45	136677.0266	2	3	9	3.0	2	2	3	2	4	4	4	4	3	5	3	4	6	6	4.0	4.0	3	3	4.0
2075	P27250	Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2	ahr	1	75.86	36460.44988	2	1	0	0.0	2	1	4	1	2	3	3	4	1	3	0	2	0	10	0.0	1.0	0	0	0.0
2076	P0AFP4	Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1	ybbO	1	41.9	29373.10702	2	39	63	44.0	15	29	43	36	46	41	39	36	37	24	27	32	73	36	44.0	37.0	32	35	45.0
2077	P0AF52	Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1	ghxP	1	55.15	45663.888139999995	2	81	116	101.0	80	85	84	55	71	124	80	55	67	39	37	74	99	85	127.0	69.0	76	84	105.0
2078	P0AEH3	Protein elaA OS=Escherichia coli (strain K12) GN=elaA PE=3 SV=1	elaA	1	76.1	17390.65594	2	139	159	206.0	73	95	150	101	67	100	70	58	40	99	76	210	123	198	203.0	81.0	64	96	111.0
2079	P37147	UPF0716 protein fxsA OS=Escherichia coli (strain K12) GN=fxsA PE=1 SV=2	fxsA	1	66.69	17662.46555	2	1	42	15.0	0	4	0	6	5	31	34	46	12	0	0	0	1	0	0.0	24.0	0	8	0.0
2080	P0AEY3	Nucleoside triphosphate pyrophosphohydrolase OS=Escherichia coli (strain K12) GN=mazG PE=1 SV=1	mazG	1	56.82	30375.185210000003	2	2	4	2.0	5	4	2	2	2	2	3	3	3	9	9	27	1	17	7.0	16.0	14	10	12.0
2081	P37750	Putative lipopolysaccharide biosynthesis O-acetyl transferase wbbJ OS=Escherichia coli (strain K12) GN=wbbJ PE=3 SV=2	wbbJ	1	21.78	21643.43555	2	41	165	147.0	120	145	153	71	100	105	184	149	158	19	68	25	37	56	79.0	122.0	117	139	72.0
2082	P0A9T6	Uncharacterized HTH-type transcriptional regulator ybaQ OS=Escherichia coli (strain K12) GN=ybaQ PE=1 SV=1	ybaQ	1	72.85	13144.90646	2	40	15	4.0	7	30	43	40	29	32	24	16	11	1	1	37	61	36	43.0	44.0	31	34	50.0
2083	P0A898	Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1	ybeY	1	91.56	17496.46109	2	14	35	33.0	20	15	96	5	17	108	269	185	243	244	366	552	738	803	423.0	322.0	376	277	326.0
